                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4341,                 2.8727,                 1.8456,                0.78439,                0.84615,                0.85475,                0.62143,                0.81976,                 4.3028,                 1.4384,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.2313,                 2.7697,                   1.71,                0.60432,                0.65385,                0.63555,                0.41139,                  1.304,                 3.9639,                 1.8842,             0.00019822,             0.00019822,             0.00019822
                      3,                 1.4776,                  2.042,                 1.7751,                0.60802,                0.65385,                0.65866,                0.25065,                 2.1106,                 9.7272,                 3.0799,             0.00027268,             0.00027268,             0.00027268
                      4,                 1.4511,                  1.721,                 1.7486,                 0.2485,                0.73077,                0.57245,                0.32332,                  1.276,                 12.308,                 1.8533,             0.00032338,             0.00032338,             0.00032338
                      5,                 1.2775,                 1.7727,                 1.6332,                0.60125,                0.61538,                 0.5627,                0.28162,                 1.3514,                 2.9212,                 1.9014,             0.00035032,             0.00035032,             0.00035032
                      6,                 1.2161,                 1.4149,                 1.6138,                0.32484,                0.80769,                0.50072,                0.22498,                 1.7075,                 14.792,                 2.8417,              0.0003535,              0.0003535,              0.0003535
                      7,                 1.4472,                 1.3312,                 1.8132,                0.88235,                0.57692,                 0.7038,                0.42959,                 1.1753,                 7.0083,                 2.1498,             0.00033292,             0.00033292,             0.00033292
                      8,                  1.374,                 1.2597,                 1.8474,                0.81607,                0.85348,                0.87739,                0.56797,                  1.123,                 2.6217,                 1.8286,             0.00028858,             0.00028858,             0.00028858
                      9,                 1.3107,                 1.1403,                 1.6121,                0.87562,                0.84615,                0.84534,                0.60603,                 1.0608,                 1.9213,                  1.867,             0.00022048,             0.00022048,             0.00022048
                     10,                 1.1247,                 1.1259,                 1.4954,                0.86123,                0.80769,                0.86186,                0.51615,                 1.0511,                 1.3403,                 1.8722,             0.00012862,             0.00012862,             0.00012862
