                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5074,                 2.4803,                 1.8355,                0.77253,                0.78406,                0.76983,                0.57053,                0.77445,                 3.0539,                 1.4078,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.4518,                 1.7257,                 1.7218,                0.79534,                0.65385,                0.76658,                 0.4783,                 1.2389,                 1.5612,                 1.7942,             0.00020548,             0.00020548,             0.00020548
                      3,                 1.3453,                 1.5605,                 1.6176,                0.49608,                0.61538,                0.62101,                0.24679,                 2.2872,                 4.8947,                 4.9991,             0.00029512,             0.00029512,             0.00029512
                      4,                 1.2906,                 1.4056,                 1.5775,                0.73654,                0.76923,                0.74565,                0.31486,                 1.9711,                 2.5794,                 3.3172,             0.00036892,             0.00036892,             0.00036892
                      5,                 1.2679,                 1.2211,                 1.5388,                0.41361,                0.57692,                0.37166,                0.20884,                 1.7454,                  6.659,                 2.7783,             0.00042688,             0.00042688,             0.00042688
                      6,                 1.3554,                 1.5447,                 1.8114,                 0.4375,                0.53846,                0.39484,                0.16493,                 2.0568,                 18.638,                 3.2104,               0.000469,               0.000469,               0.000469
                      7,                 1.4728,                 1.4361,                 1.8562,                   0.48,                0.46154,                0.32232,                0.11361,                 2.4279,                 16.818,                 4.0373,             0.00049528,             0.00049528,             0.00049528
                      8,                 1.3663,                  1.408,                 1.6491,                0.52632,                0.38462,                0.38733,                0.12212,                  2.209,                 20.438,                 3.7684,             0.00050572,             0.00050572,             0.00050572
                      9,                 1.3695,                 1.2849,                 1.7259,                0.41459,                0.80769,                 0.6291,                0.26042,                  1.995,                 8.8233,                 4.0536,             0.00050032,             0.00050032,             0.00050032
                     10,                 1.3997,                 1.4728,                 1.8115,                    0.5,                0.34615,                0.46726,                0.19998,                 1.9469,                 17.361,                 3.4987,             0.00047908,             0.00047908,             0.00047908
                     11,                 1.3411,                 1.4347,                 1.6926,                0.71429,                0.38462,                0.57311,                0.32406,                 1.3249,                 10.569,                 2.4475,               0.000442,               0.000442,               0.000442
                     12,                  1.233,                 1.1428,                 1.6246,                0.58206,                0.92308,                0.86858,                0.48291,                 1.1845,                 4.9892,                 2.2036,             0.00038908,             0.00038908,             0.00038908
                     13,                  1.277,                 1.0179,                 1.6651,                0.65045,                0.88462,                0.85746,                0.51261,                 1.1414,                 3.8716,                 2.0283,             0.00032032,             0.00032032,             0.00032032
                     14,                 1.1006,                0.90965,                 1.4922,                0.70419,                0.73254,                0.85674,                0.48532,                 1.3908,                 2.3303,                 2.0751,             0.00023572,             0.00023572,             0.00023572
                     15,                0.99971,                0.86151,                 1.4209,                0.86432,                0.69231,                0.84169,                0.50405,                 1.3046,                 2.1993,                 1.9727,             0.00013528,             0.00013528,             0.00013528
